,open,high,low,close,volume
2021-04-26 14:25:00,37730.0,37870.0,37720.0,37800.0,22483.05358131
2021-04-26 14:26:00,37770.0,37800.0,37670.0,37680.0,11611.85310313
2021-04-26 14:27:00,37710.0,37800.0,37660.0,37740.0,7809.00034759
2021-04-26 14:28:00,37740.0,37870.0,37660.0,37860.0,8484.10029511
2021-04-26 14:29:00,37860.0,37900.0,37800.0,37820.0,8705.55086453
2021-04-26 14:30:00,37830.0,37830.0,37720.0,37790.0,9021.36738227
2021-04-26 14:31:00,37770.0,37790.0,37690.0,37690.0,11565.78396655
2021-04-26 14:32:00,37700.0,37750.0,37650.0,37750.0,9624.73091855
2021-04-26 14:33:00,37740.0,37820.0,37700.0,37790.0,9096.46097551
2021-04-26 14:34:00,37790.0,37810.0,37740.0,37750.0,6996.03373698
2021-04-26 14:35:00,37810.0,37810.0,37700.0,37750.0,8261.6863401
2021-04-26 14:36:00,37750.0,37800.0,37740.0,37790.0,6222.06201339
2021-04-26 14:37:00,37770.0,37790.0,37740.0,37760.0,4009.06903341
2021-04-26 14:38:00,37760.0,37770.0,37740.0,37750.0,4405.99145403
2021-04-26 14:39:00,37750.0,37770.0,37740.0,37770.0,3470.42024145
2021-04-26 14:40:00,37760.0,37770.0,37640.0,37640.0,5624.24509461
2021-04-26 14:41:00,37650.0,37700.0,37610.0,37690.0,9327.96463453
2021-04-26 14:42:00,37650.0,37690.0,37600.0,37610.0,8874.45441562
2021-04-26 14:43:00,37610.0,37630.0,37600.0,37610.0,5535.63945236
2021-04-26 14:44:00,37610.0,37610.0,37510.0,37510.0,5616.70546504
2021-04-26 14:45:00,37520.0,37570.0,37510.0,37560.0,8343.71588385
2021-04-26 14:46:00,37570.0,37570.0,37540.0,37550.0,3991.15528209
2021-04-26 14:47:00,37550.0,37550.0,37520.0,37520.0,3466.03108518
2021-04-26 14:48:00,37520.0,37550.0,37520.0,37540.0,5332.41559223
2021-04-26 14:49:00,37550.0,37550.0,37540.0,37550.0,2336.48713587
2021-04-26 14:50:00,37540.0,37570.0,37540.0,37570.0,4692.27872065
2021-04-26 14:51:00,37560.0,37620.0,37560.0,37600.0,8703.51903744
2021-04-26 14:52:00,37600.0,37610.0,37550.0,37560.0,4066.38256755
2021-04-26 14:53:00,37560.0,37570.0,37540.0,37560.0,4690.95277513
2021-04-26 14:54:00,37560.0,37670.0,37550.0,37660.0,4667.11627042
2021-04-26 14:55:00,37650.0,37680.0,37630.0,37670.0,4393.00399942
2021-04-26 14:56:00,37650.0,37670.0,37650.0,37660.0,5466.1118998
2021-04-26 14:57:00,37660.0,37660.0,37640.0,37660.0,4216.80404079
2021-04-26 14:58:00,37670.0,37830.0,37640.0,37820.0,12636.27553692
2021-04-26 14:59:00,37820.0,37860.0,37820.0,37850.0,7916.06681759
2021-04-26 15:00:00,37840.0,37890.0,37820.0,37880.0,7575.72524294
2021-04-26 15:01:00,37890.0,37890.0,37830.0,37830.0,5763.16734309
2021-04-26 15:02:00,37840.0,37850.0,37740.0,37740.0,7193.24186639
2021-04-26 15:03:00,37740.0,37750.0,37710.0,37740.0,3558.71253153
2021-04-26 15:04:00,37740.0,37770.0,37730.0,37770.0,4647.06673811
2021-04-26 15:05:00,37770.0,37860.0,37770.0,37850.0,8099.04373406
2021-04-26 15:06:00,37860.0,37860.0,37840.0,37860.0,5317.85779728
